actual_current_dm3058_ma,output_duty_pct,adc1_raw,adc1_voltage_v,adc2_raw,adc2_voltage_v,set_current_ma,stm32_reported_current_ma,source_file,source_row,time_s,sample_count,dropped_each_side
2.78424,0.5,21,0.017,,,3,3.021,low_current_sweep_start_duty.csv,26,6.38405,64,16
2.78424,0.5,18,0.015,,,3,2.589,low_current_sweep_start_duty.csv,33,10.7339,64,16
4.79654,0.9,31,0.026,,,5,4.597,low_current_sweep_correction_curve.csv,45,6.04376,64,16
5.08028,0.9,34,0.029,,,5,5.041,low_current_sweep_correction_curve.csv,42,4.59383,64,16
5.08029,0.9,34,0.029,,,5,5.041,low_current_sweep_correction_curve.csv,43,5.07445,64,16
5.08031,0.9,34,0.029,,,5,5.041,low_current_sweep_correction_curve.csv,46,7.00767,64,16
5.08035,0.9,34,0.029,,,5,5.041,low_current_sweep_correction_curve.csv,47,7.49355,64,16
5.08037,0.9,34,0.029,,,5,5.041,low_current_sweep_correction_curve.csv,48,7.9741,64,16
5.08045,0.9,34,0.029,,,5,5.041,low_current_sweep_correction_curve.csv,49,8.94371,64,16
5.08048,0.9,34,0.029,,,5,5.041,low_current_sweep_correction_curve.csv,51,9.90826,64,16
5.08049,0.9,34,0.029,,,5,5.041,low_current_sweep_correction_curve.csv,54,11.8435,64,16
5.0805,0.9,34,0.029,,,5,5.041,low_current_sweep_correction_curve.csv,50,9.42945,64,16
5.08056,0.9,34,0.029,,,5,5.041,low_current_sweep_correction_curve.csv,53,11.3573,64,16
5.08062,0.9,34,0.029,,,5,5.041,low_current_sweep_correction_curve.csv,52,10.3936,64,16
5.0814,0.9,38,0.033,,,5,5.467,low_current_sweep_start_duty.csv,50,8.46444,64,16
5.0826,0.9,38,0.033,,,5,5.467,low_current_sweep_start_duty.csv,43,4.59309,64,16
5.08278,0.9,34,0.029,,,5,4.891,low_current_sweep_start_duty.csv,45,5.55902,64,16
5.0828,0.9,34,0.029,,,5,4.891,low_current_sweep_start_duty.csv,44,5.07566,64,16
5.08291,0.9,34,0.029,,,5,4.891,low_current_sweep_start_duty.csv,46,6.04213,64,16
5.08299,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,16,9.76808,64,16
5.08303,0.9,34,0.029,,,5,4.891,low_current_sweep_start_duty.csv,47,7.01175,64,16
5.08304,0.9,38,0.033,,,5,5.467,low_current_test_after_adaptive.csv,15,9.28485,64,16
5.08307,0.9,38,0.033,,,5,5.467,low_current_test_after_adaptive.csv,34,8.4769,64,16
5.0831,1,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,53,8.47595,64,16
5.08311,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,26,3.64415,64,16
5.08312,0.9,38,0.033,,,5,5.467,low_current_test_after_adaptive.csv,20,12.1849,64,16
5.08315,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,17,10.7344,64,16
5.08315,0.9,38,0.033,,,5,5.467,low_current_test_after_adaptive.csv,47,4.6099,64,16
5.08316,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,56,9.92824,64,16
5.08319,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,7,4.45196,64,16
5.08321,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,10,6.38508,64,16
5.08321,0.9,38,0.033,,,5,5.467,low_current_test_after_adaptive.csv,28,5.09395,64,16
5.08321,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,39,11.8616,64,16
5.08322,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,35,8.96116,64,16
5.08322,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,51,7.02624,64,16
5.08324,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,40,12.3436,64,16
5.08325,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,6,3.96726,64,16
5.08326,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,11,6.86847,64,16
5.08326,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,12,7.35017,64,16
5.08326,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,13,7.83472,64,16
5.08328,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,29,5.57768,64,16
5.08329,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,48,5.09314,64,16
5.08329,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,59,11.8616,64,16
5.0833,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,18,11.2176,64,16
5.08331,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,57,10.8943,64,16
5.08333,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,30,6.06132,64,16
5.08333,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,31,6.54544,64,16
5.08336,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,36,9.92804,64,16
5.08337,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,49,6.06088,64,16
5.08339,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,50,6.5434,64,16
5.08351,1,34,0.029,,,5,4.891,low_current_sweep_start_duty.csv,54,11.3619,64,16
5.08352,0.9,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,58,11.3756,64,16
5.08355,0.9,34,0.029,,,5,4.891,low_current_sweep_start_duty.csv,51,9.42509,64,16
