cmd,t,set,stm,err,adc1,adc1v,smp,drop,rej,out,dmm
8,4.760178089141846,1,0.0,1.0,0,0.0,64,16,75,0.3,nan
8,6.339260101318359,1,2.158,-1.158,15,0.013,64,16,76,0.1,1.689941
8,6.82739782333374,1,1.582,-0.582,11,0.008,64,16,76,0.2,1.1880199999999999
8,7.309108257293701,1,0.0,1.0,0,0.0,64,16,77,0.2,1.746958
8,8.632872581481934,1,2.158,-1.158,15,0.013,64,16,78,0.2,1.074832
8,10.138965129852295,1,0.0,1.0,0,0.0,64,16,79,0.2,nan
8,11.63916540145874,1,2.158,-1.158,15,0.013,64,16,80,0.1,nan
8,13.149042844772339,1,0.0,1.0,0,0.0,64,16,81,0.4,nan
8,14.787539005279541,1,1.582,-0.582,11,0.008,64,16,81,0.1,1.074918
8,15.269207000732422,1,0.0,1.0,0,0.0,64,16,82,0.3,1.268805
8,15.751415967941284,1,2.158,-1.158,15,0.013,64,16,83,0.1,0.9974537
8,16.237494468688965,1,1.582,-0.582,11,0.008,64,16,83,0.2,1.074886
8,17.237404584884644,1,0.0,1.0,0,0.0,64,16,84,0.2,1.074908
8,18.477824687957764,1,0.0,1.0,0,0.0,64,16,84,0.3,1.689858
8,19.4460346698761,1,0.0,1.0,0,0.0,64,16,84,0.3,1.006086
8,19.924012660980225,1,0.0,1.0,0,0.0,64,16,84,0.2,1.074908
8,20.91914439201355,1,1.582,-0.582,11,0.008,64,16,84,0.1,1.07488
8,21.409090042114258,1,0.0,1.0,0,0.0,64,16,85,0.3,1.2793349999999999
10,1.7158007621765137,10,0.0,10.0,0,0.0,64,16,0,1.2,10.56523
10,2.1958138942718506,10,6.617,3.383,46,0.04,64,16,0,1.8,10.565949999999999
10,2.6881096363067627,10,10.001,-0.001,69,0.06,64,16,0,1.8,11.18091
10,3.165653944015503,10,10.65,-0.65,73,0.063,64,16,0,1.8,11.18069
10,3.651677370071411,10,10.65,-0.65,73,0.063,64,16,0,1.8,10.98183
10,4.135899543762207,10,10.65,-0.65,73,0.063,64,16,0,1.8,10.9771
10,5.095494985580444,10,10.65,-0.65,73,0.063,64,16,0,1.8,11.1822
10,5.585873365402222,10,9.525,0.475,66,0.058,64,16,0,2.0,10.73874
10,6.0656352043151855,10,10.001,-0.001,69,0.06,64,16,0,1.9,11.12838
10,6.550236701965332,10,9.525,0.475,66,0.058,64,16,0,1.9,11.18162
10,7.521342515945435,10,10.65,-0.65,73,0.063,64,16,0,1.8,11.181939999999999
10,8.004225730895996,10,9.525,0.475,66,0.058,64,16,0,1.9,11.18216
10,8.488224029541016,10,9.525,0.475,66,0.058,64,16,0,1.9,11.18224
10,9.44597601890564,10,10.65,-0.65,73,0.063,64,16,0,1.8,11.18238
10,9.9357750415802,10,10.65,-0.65,73,0.063,64,16,0,1.8,11.79305
10,10.415920972824097,10,11.295,-1.295,77,0.068,64,16,0,1.8,11.08126
10,10.895724058151245,10,10.65,-0.65,73,0.063,64,16,0,1.8,10.985240000000001
10,11.865817546844482,10,10.65,-0.65,73,0.063,64,16,0,1.9,11.181470000000001
10,12.3546462059021,10,9.525,0.475,66,0.058,64,16,0,1.9,11.181659999999999
10,12.83760690689087,10,9.525,0.475,66,0.058,64,16,0,1.9,11.18206
10,13.315829992294312,10,10.65,-0.65,73,0.063,64,16,0,1.8,10.97882
10,14.286563396453857,10,10.65,-0.65,73,0.063,64,16,0,1.8,11.18225
10,14.765573978424072,10,10.65,-0.65,73,0.063,64,16,0,1.8,11.53918
10,15.24559736251831,10,11.295,-1.295,77,0.068,64,16,0,1.8,11.38604
10,16.221261978149414,10,11.295,-1.295,77,0.068,64,16,0,1.8,11.18127
15,0.5420951843261719,10,10.65,-0.65,73,0.063,64,16,0,1.9,11.18158
15,1.0231115818023682,10,9.525,0.475,66,0.058,64,16,0,2.0,11.308810000000001
